Mag	Year	Month	Day	Hour	Min	Sec	Depth	Lon	Lat
7.59	1990	6	20	21	0	10	18.00	49.35	36.99
7.32	1780	1	8	1	1	1	10.00	46.25	38.15
7.32	1840	7	2	1	1	1	7.30	43.90	39.50
7.23	1024	11	24	1	1	1	10.00	46.30	38.10
7.23	1721	4	26	1	1	1	10.00	46.70	37.90
7.00	1976	11	24	1	1	1	9.00	44.03	39.08
6.86	1844	5	13	1	1	1	8.70	48.00	37.40
6.80	1988	12	7	7	41	26	7.00	44.12	40.92
6.80	2000	11	25	18	9	13	50.00	49.93	40.20
6.77	1640	12	31	13	1	1	12.90	46.10	37.90
6.67	1304	11	7	1	1	1	10.00	45.50	38.50
6.67	1879	3	22	1	1	1	13.60	47.90	37.80
6.67	1896	4	1	1	1	1	12.20	48.40	37.80
6.60	1980	5	4	18	35	19	20.00	49.02	38.05
6.50	2002	6	22	2	58	23	11.00	49.02	35.60
6.50	1986	3	6	0	5	39	31.00	51.59	40.34
6.49	1273	1	18	1	1	1	10.00	45.80	38.40
6.49	1989	9	16	2	5	9	40.00	51.56	40.34
6.49	1931	10	20	15	58	32	110.00	50.80	42.00
6.40	1931	4	27	1	1	1	33.60	46.09	39.48
6.40	2004	5	28	12	38	45	27.00	51.57	36.26
6.40	1911	6	7	23	58	48	100.00	50.80	41.00
6.39	1941	9	10	21	53	56	28.00	43.39	39.07
6.31	1786	10	1	1	1	1	10.00	45.60	38.30
6.29	1934	2	22	1	1	1	10.00	45.04	38.23
6.29	2012	8	11	1	1	1	15.00	46.87	38.55
6.29	2012	8	11	1	1	1	16.00	46.78	38.58
6.21	1883	5	3	1	1	1	6.80	47.20	37.90
6.21	1905	1	9	1	1	1	10.00	48.68	37.00
6.20	1980	12	19	1	16	54	12.00	50.65	34.47
6.20	1980	12	18	12	34	15	20.00	44.63	35.89
6.19	1902	2	13	9	39	6	33.00	48.71	40.72
6.12	1593	6	1	1	1	1	10.00	47.50	37.80
6.12	1863	12	30	1	1	1	8.80	48.60	38.20
6.12	1948	6	29	16	6	29	80.00	46.40	41.90
6.10	1997	2	28	1	1	1	12.00	48.07	38.11
6.09	1994	7	1	10	12	43	45.00	53.35	40.18
6.03	858	6	1	1	1	1	10.00	54.30	36.20
6.03	1930	5	8	1	1	1	33.00	45.07	38.41
6.00	1908	9	28	1	1	1	10.00	44.00	38.00
6.00	1960	11	25	1	1	1	33.00	47.50	39.50
6.00	1998	7	9	1	1	1	29.00	48.53	38.73
6.00	1961	6	9	9	36	52	30.00	50.54	40.80
6.00	1990	1	20	1	27	12	30.00	52.97	35.90
5.94	1717	3	12	1	1	1	10.00	46.30	38.10
5.94	1903	6	24	1	1	1	14.60	48.96	37.48
5.94	1981	7	23	1	1	1	15.00	45.20	37.08
5.88	1962	9	4	1	1	1	20.00	44.11	39.90
5.82	1934	10	29	1	1	1	10.00	47.80	39.90
5.82	1958	8	14	11	27	5	39.00	47.78	34.27
5.79	1983	7	22	2	41	1	41.30	49.18	36.95
5.79	1962	9	4	13	30	13	20.00	49.72	35.56
5.79	1978	5	26	13	43	38	25.00	46.54	41.97
5.79	1976	11	24	16	41	5	33.00	43.82	39.90
5.76	1903	2	9	1	1	1	10.00	47.65	36.58
5.76	1913	1	27	19	38	32	33.00	43.00	39.30
5.76	1913	4	20	3	13	36	33.00	43.90	41.20
5.76	1936	5	1	10	24	44	33.00	43.10	39.60
